"","x"
"1",NA
"2","id"
"3","token"
"4","submitdate"
"5","startlanguage"
"6","startdate"
"7","datestamp"
"8","Hier, à partir de 18h, combien de fois avez-vous mangé quelque chose ?	Par exemple : un fruit, des biscuits apéritifs, un repas, des confiseries, etc..."
"9","[Prise alimentaire] [Heure] À quelle heure a eu lieu votre prise alimentaire  ?"
"10","[Prise alimentaire] [Minute] À quelle heure a eu lieu votre prise alimentaire  ?"
"11","[Prise alimentaire] [Heure] À quelle heure a eu lieu votre prise alimentaire principale (celle que vous considérez comme la plus importante) ?"
"12","[Prise alimentaire] [Minute] À quelle heure a eu lieu votre prise alimentaire principale (celle que vous considérez comme la plus importante) ?"
"13","Combien de temps a-t-elle duré ?"
"14","Qui a préparé ce que vous avez mangé ?"
"15","Combien de temps vous a pris la préparation approximativement ?"
"16","Veuillez lister tout ce que vous avez mangé à cette occasion :"
"17","Considérez-vous que c’était un repas ?"
"18","Pouvez-vous me dire où vous étiez à ce moment-là ? "
"19","[Autre] Pouvez-vous me dire où vous étiez à ce moment-là ? "
"20","Est-ce que vous étiez à table ? "
"21","Dans quelle pièce vous-trouviez-vous ?"
"22","[Autre] Dans quelle pièce vous-trouviez-vous ?"
"23","[Non, je ne faisais rien d’autre] Est-ce que vous faisiez quelque chose d’autre en mangeant ? "
"24","[Oui, je discutais] Est-ce que vous faisiez quelque chose d’autre en mangeant ? "
"25","[Oui, je regardais un écran (TV, Ordinateur, Tablette, Téléphone/smartphone, Console) ] Est-ce que vous faisiez quelque chose d’autre en mangeant ? "
"26","[Oui, je lisais] Est-ce que vous faisiez quelque chose d’autre en mangeant ? "
"27","[Je ne sais pas] Est-ce que vous faisiez quelque chose d’autre en mangeant ? "
"28","[Autre] Est-ce que vous faisiez quelque chose d’autre en mangeant ? "
"29","Quelqu’un était-il avec vous pendant que vous mangiez ? "
"30","[Ami(s)] Avec qui étiez-vous ? "
"31","[Collègue(s)] Avec qui étiez-vous ? "
"32","[Famille] Avec qui étiez-vous ? "
"33","[Conjoint] Avec qui étiez-vous ? "
"34","[ Enfants] Avec qui étiez-vous ? "
"35","[Autre] Avec qui étiez-vous ? "
"36","Cette ou ces personne(s) avec vous mangeaient-elles ?"
"37","Les personne(s) qui étaient avec vous regardaient-elles un écran ?"
"38","Parmi ces personnes qui regardaient un écran, certaines regardaient-elles le même écran que vous ? (Tv, Ordinateur, Tablette, Téléphone/Smartphone, Console)"
"39","[Prise alimentaire] [Heure] 	Nous allons maintenant évoquer rapidement votre autre prise alimentaire de la soirée.	A quelle heure a-t-elle eu lieu ?"
"40","[Prise alimentaire] [Minute] 	Nous allons maintenant évoquer rapidement votre autre prise alimentaire de la soirée.	A quelle heure a-t-elle eu lieu ?"
"41","[Prise alimentaire] [Heure] 	Nous allons maintenant évoquer rapidement vos autres prises alimentaires de la soirée. Commençons par celle que vous avez pris le plus tôt dans la soirée (à partir de 18h).	 A quelle heure a-t-elle eu lieu ?"
"42","[Prise alimentaire] [Minute] 	Nous allons maintenant évoquer rapidement vos autres prises alimentaires de la soirée. Commençons par celle que vous avez pris le plus tôt dans la soirée (à partir de 18h).	 A quelle heure a-t-elle eu lieu ?"
"43","Combien de temps a-t-elle duré ? "
"44","Qu’est-ce que vous avez mangé ? "
"45","Pouvez-vous me dire où vous étiez à ce moment-là ? "
"46","[Autre] Pouvez-vous me dire où vous étiez à ce moment-là ? "
"47","[Non, je ne faisais rien d’autre] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"48","[Oui, je discutais] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"49","[Oui, je regardais un écran (TV, Ordinateur, Tablette, Téléphone/Smartphone, Console)] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"50","[Oui, je lisais] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"51","[Je ne sais pas] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"52","[Autre] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"53","[Prise alimentaire] [Heure] 	Nous allons maintenant parler de votre dernière prise alimentaire de la soirée. S’il s’agit de votre prise principale, parlez-nous de l’avant dernière.	À quelle heure a-t-elle eu lieu ?"
"54","[Prise alimentaire] [Minute] 	Nous allons maintenant parler de votre dernière prise alimentaire de la soirée. S’il s’agit de votre prise principale, parlez-nous de l’avant dernière.	À quelle heure a-t-elle eu lieu ?"
"55","Combien de temps a-t-elle duré ?"
"56","Qu’est-ce que vous avez mangé ?"
"57","Pouvez-vous me dire où vous étiez à ce moment-là ? "
"58","[Autre] Pouvez-vous me dire où vous étiez à ce moment-là ? "
"59","[Non, je ne faisais rien d’autre] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"60","[Oui, je discutais] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"61","[Oui, je regardais un écran (Tv, Ordinateur, Tablette, Téléphone/Smartphone, Console)] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"62","[Oui, je lisais] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"63","[Je ne sais pas] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"64","[Autre] Est-ce que vous faisiez quelque chose d’autre en mangeant ?"
"65","Vous avez mentionné avoir regardé un écran pendant votre prise alimentaire principale. 	Avez-vous utilisé ce/ces écran(s) pendant la majeure partie du temps?"
"66","Sur une échelle de 1 à 5, quelle attention portiez-vous à l'écran (1 Aucune attention – 5 Toute votre attention) ?"
"67","Vous êtes-vous interrompue au moins 10 minutes pendant l'usage de cet écran ? "
"68","Vous avez mentionné avoir regardé un écran pendant la deuxième prise alimentaire. 	Avez-vous utilisé ce/ces écran(s) pendant la majeure partie du temps?"
"69","Sur une échelle de 1 à 5, quelle attention portiez-vous à l'écran (1 Aucune attention – 5 Toute votre attention) ?"
"70","Vous êtes-vous interrompue au moins 10 minutes pendant l'usage de cet écran ?"
"71","Vous avez mentionné avoir regardé un écran pendant la troisème prise alimentaire. 	Avez-vous utilisé ce/ces écran(s) pendant la majeure partie du temps?"
"72","Sur une échelle de 1 à 5, quelle attention portiez-vous à l'écran (1 Aucune attention – 5 Toute votre attention) ?"
"73","Vous êtes vous interrompue au moins dix minutes pendant l'utilisation de cet écran ?"
"74","[Télévision] Quel(s) écran(s) utilisiez-vous hier soir ? "
"75","[Téléphone portable/smartphone] Quel(s) écran(s) utilisiez-vous hier soir ? "
"76","[Tablette] Quel(s) écran(s) utilisiez-vous hier soir ? "
"77","[Ordinateur] Quel(s) écran(s) utilisiez-vous hier soir ? "
"78","[Console] Quel(s) écran(s) utilisiez-vous hier soir ? "
"79","[Autre] Quel(s) écran(s) utilisiez-vous hier soir ? "
"80","[Site internet d’information, blog, livres électroniques, forums] Que faisiez-vous sur ce/ces écran(s) ? "
"81","[Journal télévisé] Que faisiez-vous sur ce/ces écran(s) ? "
"82","[Programme TV en direct ] Que faisiez-vous sur ce/ces écran(s) ? "
"83","[Programme TV en différé ou replay] Que faisiez-vous sur ce/ces écran(s) ? "
"84","[Contenu audiovisuel sur Internet (Youtube, Twitch, Dailymotion, actualités Facebook)] Que faisiez-vous sur ce/ces écran(s) ? "
"85","[Travail] Que faisiez-vous sur ce/ces écran(s) ? "
"86","[Téléchargement] Que faisiez-vous sur ce/ces écran(s) ? "
"87","[Films/séries en streaming] Que faisiez-vous sur ce/ces écran(s) ? "
"88","[Réseaux sociaux (Twitter, Instagram, Facebook) ] Que faisiez-vous sur ce/ces écran(s) ? "
"89","[Discussion audio et video (Skype, Facetime)] Que faisiez-vous sur ce/ces écran(s) ? "
"90","[Discussion instantanée (Messenger Facebook, SMS, messagerie instantanée, Snapchat, Whatsapp...) ] Que faisiez-vous sur ce/ces écran(s) ? "
"91","[Autre] Que faisiez-vous sur ce/ces écran(s) ? "
"92","Avec combien de personne étiez-vous en contact à travers ce/ces écrans (Tv, Ordinateur, Tablette, Téléphone/Smartphone, Console) ? "
"93","Etes-vous satisfait(e) de votre connexion internet ?"
"94","Dans votre ménage, combien y a-t-il de téléphones portables de type smartphone ?"
"95","Vous personnellement, combien en utilisez-vous ?"
"96","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"97","Dans votre ménage, combien y a-t-il de téléphones portables non smartphone ?"
"98","Vous personnellement, combien en utilisez-vous ?"
"99","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"100","Dans votre ménage, combien y a-t-il de tablettes ?"
"101","Vous personnellement, combien en utilisez-vous ? "
"102","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"103","Dans votre ménage, combien y a-t-il de télévisions ?"
"104","Vous personnellement, combien en utilisez-vous ? "
"105","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"106","Dans votre ménage, combien y a-t-il de consoles de jeux ?"
"107","Vous personnellement, combien en utilisez-vous ? "
"108","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"109","Dans votre ménage, combien y a-t-il d'ordinateurs portables ?"
"110","Vous personnellement, combien en utilisez-vous ? "
"111","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"112","Dans votre ménage, combien y a-t-il d'ordinateurs fixes ?"
"113","Vous personnellement, combien en utilisez-vous ? "
"114","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"115","En général, combien de soirées passez-vous chez vous sur une semaine ?"
"116","Considérez-vous que la soirée d’hier était une soirée inhabituelle ?"
"117","Habituellement, prenez-vous votre repas du soir en regardant un écran : "
"118","[Avec des amis] 	Habituellement, vous prenez votre repas du soir...	(Plusieurs réponses possibles)"
"119","[Avec votre famille ou conjoint(e)] 	Habituellement, vous prenez votre repas du soir...	(Plusieurs réponses possibles)"
"120","[Seul(e)] 	Habituellement, vous prenez votre repas du soir...	(Plusieurs réponses possibles)"
"121","Vous êtes : "
"122","Quel âge avez-vous ? "
"123","Quel est le nom de votre commune ?"
"124","Quel est le diplôme le plus élevé que vous ayez obtenu ?"
"125","[Autre] Quel est le diplôme le plus élevé que vous ayez obtenu ?"
"126","Actuellement, quelle est votre situation ?"
"127","[Autre] Actuellement, quelle est votre situation ?"
"128","Quelle est votre profession ou la dernière que vous ayez exercée ? "
"129","Qui compose votre foyer ?"
"130","[Autre] Qui compose votre foyer ?"
"131","Actuellement, quelle est la situation de votre conjoint ? "
"132","[Autre] Actuellement, quelle est la situation de votre conjoint ? "
"133","Quelle est cette profession ? "
"134","Quel est le diplôme le plus élevé de votre conjoint ?"
"135","[Autre] Quel est le diplôme le plus élevé de votre conjoint ?"
"136","Combien d’enfants vivent avec vous au moins la moitié du temps? "
"137","Quel âge a votre enfant ?"
"138","Quel âge a le plus jeune ?"
"139","Quel âge a le plus âgé?"
"140","Quel est le revenu mensuel moyen de votre ménage ? (en revenu net)"
"141","Avez-vous un commentaire à ajouter ?"
"142",NA
"143",NA
"144","refurl"
"145",""
"146","[Je souhaite recevoir les résultats de l'enquête] Si vous le souhaitez, cochez cette case pour recevoir les résultats de l’enquête quand les étudiants auront fini de les analyser."
"147",NA
